frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq09_02/frame-000000	0.571	0.531	0.312	296.868	72.369	1.58	316.253
seq09_02/frame-000001	0.571	0.531	0.312	296.882	72.847	1.581	316.264
seq09_02/frame-000002	0.571	0.531	0.312	296.995	71.599	1.583	316.413
seq09_02/frame-000003	0.571	0.531	0.312	297.063	73.363	1.582	316.497
seq09_02/frame-000004	0.571	0.531	0.313	297.125	72.429	1.581	316.543
seq09_02/frame-000005	0.571	0.531	0.313	297.125	72.788	1.581	316.616
seq09_02/frame-000006	0.571	0.531	0.313	297.389	67.097	1.579	316.822
seq09_02/frame-000007	0.572	0.531	0.313	297.587	58.775	1.576	317.01
seq09_02/frame-000008	0.572	0.531	0.314	297.893	59.769	1.574	317.277
seq09_02/frame-000009	0.572	0.531	0.314	298.224	64.921	1.572	317.59
seq09_02/frame-000010	0.572	0.531	0.315	298.317	73.172	1.572	317.699
seq09_02/frame-000011	0.572	0.531	0.315	298.335	71.82	1.573	317.617
seq09_02/frame-000012	0.572	0.531	0.315	298.416	71.82	1.575	317.672
seq09_02/frame-000013	0.572	0.531	0.315	298.471	70.904	1.575	317.691
seq09_02/frame-000014	0.572	0.531	0.315	298.398	70.795	1.576	317.748
seq09_02/frame-000015	0.572	0.531	0.315	298.495	72.057	1.577	317.881
seq09_02/frame-000016	0.572	0.531	0.315	298.6	72.805	1.578	317.967
seq09_02/frame-000017	0.571	0.531	0.315	298.562	72.513	1.578	317.954
seq09_02/frame-000018	0.571	0.531	0.315	298.537	72.693	1.579	317.902
seq09_02/frame-000019	0.571	0.531	0.315	298.471	67.334	1.58	317.937
seq09_02/frame-000020	0.571	0.531	0.314	298.363	67.618	1.583	317.713
seq09_02/frame-000021	0.571	0.531	0.314	298.339	74.235	1.584	317.756
seq09_02/frame-000022	0.571	0.531	0.315	298.379	75.153	1.585	317.863
seq09_02/frame-000023	0.57	0.532	0.315	298.509	74.487	1.586	318.119
seq09_02/frame-000024	0.57	0.532	0.315	298.584	74.8	1.587	318.234
seq09_02/frame-000025	0.57	0.532	0.315	298.841	69.561	1.587	318.557
seq09_02/frame-000026	0.569	0.532	0.315	298.968	75.972	1.584	318.778
seq09_02/frame-000027	0.57	0.532	0.316	299.192	76.42	1.583	318.814
seq09_02/frame-000028	0.57	0.532	0.316	299.234	76.024	1.581	318.776
seq09_02/frame-000029	0.57	0.532	0.316	299.188	76.394	1.581	318.794
seq09_02/frame-000030	0.57	0.532	0.316	299.22	76.939	1.581	318.809
seq09_02/frame-000031	0.57	0.532	0.316	299.142	71.322	1.586	318.637
seq09_02/frame-000032	0.57	0.532	0.316	299.058	76.132	1.587	318.585
seq09_02/frame-000033	0.569	0.532	0.316	299.015	68.966	1.588	318.602
seq09_02/frame-000034	0.569	0.532	0.315	298.771	67.783	1.591	318.397
seq09_02/frame-000035	0.569	0.532	0.315	298.714	73.987	1.594	318.331
seq09_02/frame-000036	0.569	0.532	0.315	298.588	76.121	1.594	318.166
seq09_02/frame-000037	0.569	0.532	0.315	298.716	76.324	1.593	318.219
seq09_02/frame-000038	0.569	0.532	0.315	298.824	75.858	1.592	318.291
seq09_02/frame-000039	0.569	0.532	0.315	298.941	75.131	1.59	318.317
seq09_02/frame-000040	0.569	0.532	0.316	299.087	75.751	1.588	318.298
seq09_02/frame-000041	0.569	0.532	0.315	298.94	75.318	1.585	317.983
seq09_02/frame-000042	0.569	0.532	0.315	298.877	74.388	1.582	317.757
seq09_02/frame-000043	0.57	0.532	0.315	298.762	73.285	1.578	317.444
seq09_02/frame-000044	0.571	0.531	0.315	298.54	63.352	1.573	316.8
seq09_02/frame-000045	0.573	0.53	0.314	297.98	61.174	1.568	315.849
seq09_02/frame-000046	0.575	0.53	0.315	297.749	54.573	1.548	314.972
seq09_02/frame-000047	0.577	0.53	0.315	297.578	57.986	1.543	314.322
seq09_02/frame-000048	0.578	0.53	0.316	297.673	54.362	1.535	313.893
seq09_02/frame-000049	0.579	0.531	0.316	297.886	59.316	1.528	313.779
seq09_02/frame-000050	0.579	0.531	0.317	298.007	65.954	1.518	313.685
seq09_02/frame-000051	0.58	0.532	0.317	297.939	67.555	1.515	313.425
seq09_02/frame-000052	0.58	0.532	0.317	297.814	64.744	1.513	313.103
seq09_02/frame-000053	0.581	0.532	0.317	297.799	63.628	1.513	312.735
seq09_02/frame-000054	0.581	0.533	0.318	297.711	58.046	1.508	312.578
seq09_02/frame-000055	0.582	0.533	0.318	297.801	50.889	1.497	312.479
seq09_02/frame-000056	0.583	0.534	0.319	297.745	38.86	1.485	312.269
seq09_02/frame-000057	0.586	0.535	0.32	297.29	33.351	1.465	311.63
seq09_02/frame-000058	0.59	0.536	0.32	296.197	34.57	1.442	310.314
seq09_02/frame-000059	0.595	0.537	0.322	294.263	31.423	1.407	308.38
seq09_02/frame-000060	0.604	0.54	0.326	291.808	26.389	1.352	304.662
seq09_02/frame-000061	0.618	0.544	0.336	290.904	21.821	1.303	301.555
seq09_02/frame-000062	0.631	0.55	0.345	289.645	20.288	1.262	298.875
seq09_02/frame-000063	0.658	0.556	0.358	288.357	16.452	1.207	295.641
seq09_02/frame-000064	0.687	0.56	0.367	286.022	12.519	1.164	294.351
seq09_02/frame-000065	0.723	0.576	0.379	284.392	12.122	1.109	294.077
seq09_02/frame-000066	0.753	0.578	0.389	284.11	10.96	1.082	294.423
seq09_02/frame-000067	0.78	0.579	0.399	283.82	10.72	1.06	295.138
seq09_02/frame-000068	0.813	0.585	0.411	283.529	12.155	1.038	295.922
seq09_02/frame-000069	0.836	0.589	0.421	283.267	12.937	1.023	296.656
seq09_02/frame-000070	0.858	0.593	0.43	282.29	12.391	1.011	297.587
seq09_02/frame-000071	0.88	0.6	0.439	280.933	12.368	0.998	295.595
seq09_02/frame-000072	0.892	0.603	0.444	280.143	12.22	0.991	294.669
seq09_02/frame-000073	0.904	0.606	0.447	279.276	11.335	0.984	294.088
seq09_02/frame-000074	0.92	0.61	0.452	277.687	12.252	0.974	293.274
seq09_02/frame-000075	0.93	0.613	0.454	276.319	12.143	0.969	292.714
seq09_02/frame-000076	0.94	0.617	0.456	274.751	12.041	0.964	292.148
seq09_02/frame-000077	0.956	0.623	0.457	272.49	11.556	0.957	291.428
seq09_02/frame-000078	0.97	0.627	0.458	270.697	12.13	0.95	291.173
seq09_02/frame-000079	0.99	0.632	0.459	268.675	11.231	0.941	291.152
seq09_02/frame-000080	1.0	0.636	0.461	267.538	11.352	0.934	291.365
seq09_02/frame-000081	1.0	0.639	0.464	266.333	10.897	0.927	291.745
seq09_02/frame-000082	1.0	0.642	0.468	264.715	11.475	0.916	292.43
seq09_02/frame-000083	1.0	0.645	0.472	263.596	10.788	0.908	293.118
seq09_02/frame-000084	1.0	0.647	0.476	262.389	9.818	0.905	293.87
seq09_02/frame-000085	1.0	0.651	0.481	259.903	8.711	0.899	295.067
seq09_02/frame-000086	1.0	0.654	0.485	257.705	8.676	0.894	296.267
seq09_02/frame-000087	1.0	0.657	0.49	255.965	8.568	0.889	297.602
seq09_02/frame-000088	1.0	0.659	0.495	254.064	8.311	0.883	299.454
seq09_02/frame-000089	1.0	0.662	0.5	252.223	8.015	0.877	296.933
seq09_02/frame-000090	1.0	0.667	0.506	249.985	7.906	0.871	294.024
seq09_02/frame-000091	1.0	0.672	0.514	247.193	7.961	0.864	290.896
seq09_02/frame-000092	1.0	0.675	0.519	245.164	8.074	0.86	289.018
seq09_02/frame-000093	1.0	0.678	0.525	242.19	8.142	0.856	286.993
seq09_02/frame-000094	1.0	0.681	0.529	239.824	7.735	0.853	285.738
seq09_02/frame-000095	1.0	0.683	0.533	237.743	7.966	0.851	284.655
seq09_02/frame-000096	1.0	0.685	0.538	235.842	8.208	0.849	283.501
seq09_02/frame-000097	1.0	0.687	0.541	234.779	8.687	0.847	282.755
seq09_02/frame-000098	1.0	0.688	0.545	234.012	7.883	0.844	281.908
seq09_02/frame-000099	1.0	0.689	0.553	232.72	7.609	0.839	280.565
seq09_02/frame-000100	1.0	0.69	0.56	231.159	7.491	0.836	279.569
seq09_02/frame-000101	1.0	0.691	0.566	229.353	7.367	0.832	278.641
seq09_02/frame-000102	1.0	0.69	0.577	227.052	7.157	0.825	277.412
seq09_02/frame-000103	1.0	0.689	0.585	225.253	7.252	0.821	276.809
seq09_02/frame-000104	1.0	0.688	0.589	223.646	7.688	0.819	276.479
seq09_02/frame-000105	1.0	0.684	0.593	222.52	7.822	0.814	276.154
seq09_02/frame-000106	1.0	0.68	0.596	221.58	7.953	0.817	276.028
seq09_02/frame-000107	1.0	0.675	0.598	220.058	7.516	1.667	276.09
seq09_02/frame-000108	1.0	0.668	0.599	219.318	7.525	1.667	276.231
seq09_02/frame-000109	1.0	0.663	0.601	218.621	7.893	1.673	276.43
seq09_02/frame-000110	1.0	0.657	0.601	217.292	6.877	1.692	276.948
seq09_02/frame-000111	1.0	0.65	0.599	217.138	6.935	1.764	277.516
seq09_02/frame-000112	1.0	0.643	0.597	218.012	6.859	1.787	278.115
seq09_02/frame-000113	1.0	0.633	0.596	218.927	7.054	1.838	278.938
seq09_02/frame-000114	1.0	0.623	0.595	219.963	7.092	1.831	279.544
seq09_02/frame-000115	1.0	0.613	0.593	221.127	6.766	1.895	280.366
seq09_02/frame-000116	1.0	0.601	0.589	222.372	6.756	1.919	281.952
seq09_02/frame-000117	1.0	0.594	0.584	222.367	6.855	1.936	283.368
seq09_02/frame-000118	1.0	0.589	0.58	222.04	7.249	1.964	284.592
seq09_02/frame-000119	1.0	0.585	0.577	221.664	7.763	1.981	285.725
seq09_02/frame-000120	1.0	0.583	0.575	221.51	9.385	1.992	286.199
seq09_02/frame-000121	1.0	0.582	0.575	221.582	9.542	2.001	286.186
seq09_02/frame-000122	1.0	0.58	0.575	221.713	8.694	1.999	286.188
seq09_02/frame-000123	1.0	0.578	0.574	221.727	7.617	2.0	286.739
seq09_02/frame-000124	1.0	0.575	0.572	221.791	7.758	2.007	287.588
seq09_02/frame-000125	1.0	0.573	0.571	221.342	8.309	2.014	288.36
seq09_02/frame-000126	1.0	0.572	0.57	221.211	9.243	2.028	288.906
seq09_02/frame-000127	1.0	0.571	0.57	221.137	9.915	2.034	289.212
seq09_02/frame-000128	1.0	0.57	0.569	220.918	9.889	2.032	289.477
seq09_02/frame-000129	1.0	0.569	0.568	220.752	9.093	2.031	289.796
seq09_02/frame-000130	1.0	0.568	0.568	220.599	9.022	2.043	290.292
seq09_02/frame-000131	1.0	0.567	0.567	220.359	9.379	2.041	290.717
seq09_02/frame-000132	1.0	0.567	0.567	220.076	9.953	2.028	291.02
seq09_02/frame-000133	1.0	0.567	0.566	219.965	10.157	2.036	291.203
seq09_02/frame-000134	1.0	0.567	0.566	219.917	10.146	2.034	291.195
seq09_02/frame-000135	1.0	0.568	0.566	219.818	9.573	2.036	291.166
seq09_02/frame-000136	1.0	0.569	0.566	219.768	9.061	2.032	290.953
seq09_02/frame-000137	1.0	0.571	0.566	219.794	9.563	2.029	290.58
seq09_02/frame-000138	1.0	0.572	0.565	219.635	9.995	2.047	290.519
seq09_02/frame-000139	1.0	0.573	0.565	219.434	9.788	2.051	290.55
seq09_02/frame-000140	1.0	0.574	0.564	219.254	9.795	2.036	290.669
seq09_02/frame-000141	1.0	0.574	0.564	219.236	9.61	2.036	290.54
seq09_02/frame-000142	1.0	0.575	0.564	219.223	10.125	2.054	290.395
seq09_02/frame-000143	1.0	0.576	0.565	219.317	9.648	2.051	290.111
seq09_02/frame-000144	1.0	0.577	0.565	219.282	9.459	2.054	289.853
seq09_02/frame-000145	1.0	0.578	0.565	219.164	9.917	2.055	289.769
seq09_02/frame-000146	1.0	0.579	0.564	219.036	9.921	2.054	289.777
seq09_02/frame-000147	1.0	0.58	0.565	219.085	9.838	2.031	289.495
seq09_02/frame-000148	1.0	0.581	0.565	219.007	10.002	2.029	289.446
seq09_02/frame-000149	1.0	0.581	0.565	218.934	9.875	2.03	289.413
seq09_02/frame-000150	1.0	0.582	0.565	218.967	10.367	2.03	289.377
seq09_02/frame-000151	1.0	0.582	0.565	218.987	10.157	2.031	289.41
seq09_02/frame-000152	1.0	0.582	0.565	219.12	10.196	2.031	289.237
seq09_02/frame-000153	1.0	0.583	0.566	219.203	9.447	2.033	289.056
seq09_02/frame-000154	1.0	0.584	0.566	219.198	9.404	2.021	288.872
seq09_02/frame-000155	1.0	0.586	0.567	219.107	8.74	2.023	288.417
seq09_02/frame-000156	1.0	0.587	0.568	219.32	8.816	2.026	287.936
seq09_02/frame-000157	1.0	0.588	0.569	219.454	9.382	2.016	287.624
seq09_02/frame-000158	1.0	0.589	0.571	219.866	9.966	2.002	287.174
seq09_02/frame-000159	1.0	0.59	0.572	219.987	10.245	2.004	287.007
seq09_02/frame-000160	1.0	0.591	0.572	219.999	10.367	2.004	286.932
seq09_02/frame-000161	1.0	0.591	0.573	220.107	10.325	2.006	286.826
seq09_02/frame-000162	1.0	0.592	0.573	220.023	10.378	2.008	286.775
seq09_02/frame-000163	1.0	0.593	0.572	219.8	10.533	2.009	286.841
seq09_02/frame-000164	1.0	0.593	0.572	219.774	10.554	2.009	286.93
seq09_02/frame-000165	1.0	0.593	0.572	219.83	10.445	2.009	286.918
seq09_02/frame-000166	1.0	0.593	0.572	219.826	10.494	2.004	286.916
seq09_02/frame-000167	1.0	0.594	0.573	219.814	10.512	2.003	286.852
seq09_02/frame-000168	1.0	0.594	0.572	219.81	10.564	2.002	286.824
seq09_02/frame-000169	1.0	0.594	0.573	219.8	10.403	2.006	286.786
seq09_02/frame-000170	1.0	0.595	0.573	219.732	10.201	2.006	286.744
seq09_02/frame-000171	1.0	0.595	0.573	219.839	10.304	1.996	286.603
seq09_02/frame-000172	1.0	0.596	0.574	219.869	10.327	1.986	286.412
seq09_02/frame-000173	1.0	0.596	0.574	219.763	10.251	1.988	286.421
