frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq07_02/frame-000000 0.129 0.772 0.324 207.926 137.308 4.432 170.172
seq07_02/frame-000010 0.136 0.776 0.352 230.015 55.796 4.315 168.129
seq07_02/frame-000020 0.139 0.783 0.349 214.891 88.891 3.62 159.304
seq07_02/frame-000030 0.144 0.769 0.314 188.266 53.925 2.73 159.404
seq07_02/frame-000040 0.141 0.756 0.199 119.434 24.713 1.902 218.488
seq07_02/frame-000050 0.141 0.736 0.153 88.842 47.247 1.466 255.236
seq07_02/frame-000060 0.137 0.73 0.159 93.892 33.845 1.285 249.468
seq07_02/frame-000070 0.152 0.725 0.173 105.479 52.673 1.213 250.606
seq07_02/frame-000080 0.149 0.696 0.157 90.731 52.607 0.815 292.037
seq07_02/frame-000090 0.167 0.71 0.174 110.513 63.746 0.88 273.617
seq07_02/frame-000100 0.137 0.732 0.159 116.277 42.598 0.908 285.44
seq07_02/frame-000110 0.148 0.762 0.199 156.028 33.213 1.535 232.809
seq07_02/frame-000120 0.167 0.762 0.221 171.138 147.529 2.052 179.586
seq07_02/frame-000130 0.191 0.743 0.226 171.433 34.801 2.151 165.288
seq07_02/frame-000140 0.32 0.664 0.305 232.501 88.737 3.451 90.4785
seq07_02/frame-000150 0.362 0.596 0.319 256.549 65.449 4.143 74.8868
seq07_02/frame-000160 0.31 0.671 0.33 279.325 90.422 4.414 111.637
seq07_02/frame-000170 0.284 0.717 0.362 307.858 128.497 5.236 137.825
seq07_02/frame-000180 0.251 0.718 0.305 243.43 195.304 4.824 73.904
seq07_02/frame-000190 0.308 0.689 0.303 252.303 805.848 4.795 110.495
seq07_02/frame-000200 0.401 0.635 0.256 230.68 2914.55 4.504 135.807
seq07_02/frame-000210 0.393 0.659 0.178 178.178 1271.014 4.144 131.912
seq07_02/frame-000220 0.353 0.687 0.135 143.974 1100.107 3.837 148.064
seq07_02/frame-000230 0.388 0.673 0.129 157.14 1542.094 3.648 124.596
seq07_02/frame-000240 0.319 0.721 0.067 90.184 1587.503 3.187 196.814
seq07_02/frame-000250 0.282 0.75 0.091 100.644 3844.374 3.015 189.126
seq07_02/frame-000260 0.255 0.764 0.09 95.913 2752.967 2.892 182.575
seq07_02/frame-000270 0.198 0.787 0.082 91.995 722.734 2.413 108.786
seq07_02/frame-000280 0.171 0.814 0.088 91.537 380.002 1.909 117.442
seq07_02/frame-000290 0.127 0.836 0.066 70.793 808.803 2.354 163.493
seq07_02/frame-000300 0.113 0.847 0.101 84.517 1334.651 3.066 150.69
seq07_02/frame-000310 0.109 0.848 0.12 95.512 1532.393 3.184 151.458
seq07_02/frame-000320 0.157 0.807 0.16 120.498 337.567 3.539 151.165
seq07_02/frame-000330 0.166 0.772 0.218 144.497 1130.586 3.564 129.816
seq07_02/frame-000340 0.136 0.8 0.204 138.41 272.351 3.372 187.062
seq07_02/frame-000350 0.133 0.796 0.188 129.666 167.142 3.704 133.457
seq07_02/frame-000360 0.096 0.838 0.206 136.784 457.595 3.159 115.951
seq07_02/frame-000370 0.083 0.851 0.2 131.091 529.636 3.206 99.5533
seq07_02/frame-000380 0.071 0.861 0.176 116.259 288.282 3.423 124.329
seq07_02/frame-000390 0.08 0.814 0.178 113.637 122.938 3.97 88.8358
