frame	NSSD	NCCOEFF	SemanticChange	GeometricChange	VoL	Context	PoseNovelity
seq01_02/frame-000000	0.203	0.36	0.281	373.356	97.921	7.939	325.578
seq01_02/frame-000001	0.205	0.358	0.279	370.826	109.889	7.903	326.467
seq01_02/frame-000002	0.211	0.35	0.275	362.609	76.361	7.882	329.245
seq01_02/frame-000003	0.217	0.343	0.27	353.31	69.777	7.764	332.088
seq01_02/frame-000004	0.223	0.338	0.261	337.686	76.64	7.765	334.754
seq01_02/frame-000005	0.228	0.335	0.254	323.197	66.651	7.704	336.433
seq01_02/frame-000006	0.234	0.331	0.247	309.465	68.622	7.267	338.492
seq01_02/frame-000007	0.241	0.324	0.237	290.813	95.509	7.261	340.365
seq01_02/frame-000008	0.246	0.32	0.23	278.412	94.227	7.34	341.369
seq01_02/frame-000009	0.25	0.316	0.223	269.317	89.799	7.219	342.737
seq01_02/frame-000010	0.257	0.31	0.214	259.098	100.576	7.301	344.321
seq01_02/frame-000011	0.263	0.305	0.207	253.676	77.402	7.27	346.058
seq01_02/frame-000012	0.267	0.308	0.201	246.196	96.804	7.213	348.083
seq01_02/frame-000013	0.268	0.314	0.191	234.081	101.697	7.191	350.689
seq01_02/frame-000014	0.266	0.324	0.187	230.279	53.685	7.142	354.914
seq01_02/frame-000015	0.253	0.324	0.19	253.581	32.023	7.187	363.17
seq01_02/frame-000016	0.245	0.308	0.214	299.298	83.122	7.02	362.866
seq01_02/frame-000017	0.249	0.3	0.224	322.122	76.56	6.871	362.292
seq01_02/frame-000018	0.252	0.296	0.231	335.936	115.83	6.716	360.546
seq01_02/frame-000019	0.252	0.293	0.237	349.71	112.58	6.624	357.843
seq01_02/frame-000020	0.248	0.294	0.249	373.366	81.043	6.385	351.233
seq01_02/frame-000021	0.246	0.296	0.26	394.014	116.387	6.225	346.189
seq01_02/frame-000022	0.245	0.296	0.269	411.723	79.58	6.079	342.132
seq01_02/frame-000023	0.243	0.294	0.286	443.584	54.339	5.772	333.435
seq01_02/frame-000024	0.239	0.295	0.303	475.966	31.67	5.662	323.329
seq01_02/frame-000025	0.236	0.294	0.317	502.465	37.635	6.297	312.13
seq01_02/frame-000026	0.234	0.295	0.321	508.455	92.416	6.45	307.216
seq01_02/frame-000027	0.233	0.295	0.322	509.879	151.001	6.471	305.187
seq01_02/frame-000028	0.232	0.295	0.325	512.875	155.304	6.375	302.811
seq01_02/frame-000029	0.231	0.29	0.324	508.846	176.427	6.139	301.469
seq01_02/frame-000030	0.23	0.284	0.323	504.797	298.843	6.153	299.726
seq01_02/frame-000031	0.23	0.277	0.318	493.304	83.636	6.003	301.525
seq01_02/frame-000032	0.231	0.273	0.31	476.705	77.432	5.915	305.186
seq01_02/frame-000033	0.23	0.267	0.303	459.44	86.7	5.674	307.737
seq01_02/frame-000034	0.229	0.262	0.29	431.147	69.615	5.717	312.09
seq01_02/frame-000035	0.229	0.259	0.28	409.24	66.344	5.774	316.07
seq01_02/frame-000036	0.229	0.258	0.271	387.558	193.946	5.742	319.449
seq01_02/frame-000037	0.227	0.254	0.272	386.397	91.674	5.756	316.0
seq01_02/frame-000038	0.224	0.245	0.277	390.358	52.735	5.801	308.11
seq01_02/frame-000039	0.215	0.238	0.281	386.273	76.057	5.867	296.783
seq01_02/frame-000040	0.206	0.251	0.278	374.338	169.772	5.918	292.797
seq01_02/frame-000041	0.201	0.254	0.268	353.907	88.37	5.892	294.899
seq01_02/frame-000042	0.193	0.249	0.245	313.545	206.537	5.867	300.745
seq01_02/frame-000043	0.19	0.25	0.243	309.355	98.595	5.831	297.934
seq01_02/frame-000044	0.187	0.26	0.246	314.891	60.187	5.921	283.751
seq01_02/frame-000045	0.185	0.276	0.247	315.775	67.122	6.011	270.76
seq01_02/frame-000046	0.183	0.291	0.241	309.557	70.045	6.12	257.066
seq01_02/frame-000047	0.182	0.308	0.239	309.394	74.793	6.084	247.06
seq01_02/frame-000048	0.182	0.316	0.236	306.867	99.043	6.04	239.537
seq01_02/frame-000049	0.181	0.321	0.23	298.774	140.978	5.973	232.742
seq01_02/frame-000050	0.179	0.323	0.226	292.565	205.915	5.893	230.011
seq01_02/frame-000051	0.178	0.328	0.222	286.907	105.267	5.853	226.235
seq01_02/frame-000052	0.175	0.344	0.217	279.869	63.756	5.818	215.292
seq01_02/frame-000053	0.173	0.356	0.213	274.115	78.916	5.81	206.917
seq01_02/frame-000054	0.171	0.363	0.209	267.982	127.823	5.762	201.368
seq01_02/frame-000055	0.169	0.374	0.205	260.244	138.306	5.695	195.674
seq01_02/frame-000056	0.167	0.383	0.202	254.939	173.115	5.62	192.716
seq01_02/frame-000057	0.163	0.394	0.198	247.455	132.914	5.497	190.097
seq01_02/frame-000058	0.161	0.406	0.196	242.027	88.409	5.443	188.524
seq01_02/frame-000059	0.157	0.424	0.191	235.466	79.923	5.288	185.935
seq01_02/frame-000060	0.151	0.449	0.187	230.271	97.948	5.169	181.102
seq01_02/frame-000061	0.146	0.476	0.186	227.794	75.694	5.024	177.211
seq01_02/frame-000062	0.143	0.501	0.187	227.274	65.028	4.826	174.24
seq01_02/frame-000063	0.14	0.535	0.188	224.936	77.78	4.58	170.525
seq01_02/frame-000064	0.139	0.557	0.193	225.425	64.376	4.38	168.265
seq01_02/frame-000065	0.136	0.58	0.199	226.104	50.268	4.088	167.432
seq01_02/frame-000066	0.135	0.591	0.208	227.562	48.92	3.639	167.148
seq01_02/frame-000067	0.136	0.603	0.216	228.942	37.367	3.483	167.764
seq01_02/frame-000068	0.139	0.619	0.224	228.724	40.125	3.217	172.01
seq01_02/frame-000069	0.141	0.628	0.225	230.901	37.299	3.099	175.897
seq01_02/frame-000070	0.14	0.646	0.222	236.136	35.193	2.999	178.115
seq01_02/frame-000071	0.139	0.659	0.214	247.167	23.972	2.85	172.045
seq01_02/frame-000072	0.135	0.65	0.198	238.954	28.48	2.681	167.458
seq01_02/frame-000073	0.135	0.656	0.177	225.512	23.835	2.62	169.382
seq01_02/frame-000074	0.139	0.653	0.163	214.509	41.773	2.559	171.593
seq01_02/frame-000075	0.143	0.647	0.149	200.795	60.388	2.48	171.152
seq01_02/frame-000076	0.143	0.648	0.135	182.589	71.464	2.443	169.914
seq01_02/frame-000077	0.242	0.186	0.129	223.058	58.57	2.506	172.494
